entry,mfe_level_r,losers_reaching_level,total_losers,pct_of_losers
FIB_500,0.25,6152,6276,98.02421924792861
FIB_500,0.5,5679,6276,90.48757170172084
FIB_500,0.75,5051,6276,80.48119821542383
FIB_500,1.0,3723,6276,59.32122370936902
FIB_500,1.5,2463,6276,39.24474187380497
FIB_500,2.0,1582,6276,25.207138304652645
FIB_500,2.5,982,6276,15.646908859145952
FIB_500,3.0,568,6276,9.050350541746335
FIB_618,0.25,5477,5531,99.0236846863135
FIB_618,0.5,5132,5531,92.78611462664979
FIB_618,0.75,4591,5531,83.00488157656844
FIB_618,1.0,3942,5531,71.27101789911409
FIB_618,1.5,2803,5531,50.677996745615616
FIB_618,2.0,1590,5531,28.747062014102333
FIB_618,2.5,1047,5531,18.92966913758814
FIB_618,3.0,601,5531,10.866027843066353
FIB_705,0.25,4867,4908,99.1646291768541
FIB_705,0.5,4658,4908,94.90627546862265
FIB_705,0.75,4199,4908,85.55419722901385
FIB_705,1.0,3623,4908,73.81825590872046
FIB_705,1.5,2599,4908,52.95436022819886
FIB_705,2.0,1804,4908,36.7563162184189
FIB_705,2.5,1007,4908,20.517522412387937
FIB_705,3.0,590,4908,12.02118989405053
FIB_786,0.25,4361,4388,99.38468550592525
FIB_786,0.5,4259,4388,97.06016408386509
FIB_786,0.75,3971,4388,90.4968094804011
FIB_786,1.0,3604,4388,82.13309024612579
FIB_786,1.5,2661,4388,60.64266180492252
FIB_786,2.0,1811,4388,41.27164995442115
FIB_786,2.5,1191,4388,27.142206016408387
FIB_786,3.0,725,4388,16.522333637192343
NO_FIB,0.25,5882,6296,93.42439644218553
NO_FIB,0.5,5166,6296,82.05209656925032
NO_FIB,0.75,4382,6296,69.5997458703939
NO_FIB,1.0,3695,6296,58.688055908513334
NO_FIB,1.5,2550,6296,40.50190597204574
NO_FIB,2.0,1690,6296,26.84243964421855
NO_FIB,2.5,1053,6296,16.724904701397712
NO_FIB,3.0,607,6296,9.641041931385006
