group,value,trades,wins,losses,wr,avg_mfe_r,median_mfe_r,avg_mae_r
ABSORPTION,False,25403,7581,17822,29.84293193717277,2.5043536626329415,2.1275106163205346,1.1841454762561319
ABSORPTION,True,13061,3484,9577,26.67483347370033,2.345033550075175,1.9035279425539613,1.1668284445766237
CONFIRM_CLOSE_POS,"(0.85, inf]",14307,5093,9214,35.597959041028865,2.739211538086589,2.533887456502318,1.0938419761028464
CONFIRM_CLOSE_POS,"(0.7, 0.85]",10823,3070,7753,28.365517878591888,2.471886928933496,2.0952042123246755,1.2023910721125133
CONFIRM_CLOSE_POS,"(0.55, 0.7]",6827,1597,5230,23.39241247985938,2.211468045297367,1.711089335292693,1.2521200837643176
CONFIRM_CLOSE_POS,"(0.4, 0.55]",4090,896,3194,21.907090464547675,2.1327847081752083,1.6077050476612231,1.212113601940037
CONFIRM_CLOSE_POS,"(-inf, 0.4]",2417,409,2008,16.921803889118742,1.8546403725538696,1.3484201537149487,1.3040751669751354
DIRECTION,SHORT,21169,6194,14975,29.259766639897965,2.467301494488415,2.0591932949184324,1.1809696491477906
DIRECTION,LONG,17295,4871,12424,28.16420930904886,2.4293884910419905,2.0232558139534884,1.174955035856619
DISP_ATR,"(1.5, inf]",2027,681,1346,33.596447952639366,2.6246770178078482,2.2705882352941176,1.0052618677679754
DISP_ATR,"(1.0, 1.5]",4683,1495,3188,31.92398035447363,2.568518033247238,2.29331527070596,1.1003071455426299
DISP_ATR,"(0.75, 1.0]",5862,1841,4021,31.405663596042306,2.547501510985099,2.223714049786454,1.0837053185127041
DISP_ATR,"(0.5, 0.75]",8963,2658,6305,29.655249358473725,2.490396531329397,2.1026840679635113,1.1893512407687497
DISP_ATR,"(0.3, 0.5]",7662,2108,5554,27.512398851474813,2.412876055478715,1.9897267888985817,1.2184206875904566
DISP_ATR,"(-inf, 0.3]",9267,2282,6985,24.625013488723425,2.2829022034989968,1.8121005538984545,1.2713946933158657
ENTRY,NO_FIB,9109,2813,6296,30.881545724009225,2.3741370941984963,1.95,1.0364561748275138
ENTRY,FIB_786,6217,1829,4388,29.419334083963328,2.7530943592573456,2.41148740850947,1.3893487015927133
ENTRY,FIB_705,6946,2038,4908,29.340627699395334,2.5630759097669817,2.2639213879111146,1.2447584450954707
ENTRY,FIB_618,7702,2171,5531,28.187483770449234,2.426623556328073,1.9437487812568661,1.1723672582825022
ENTRY,FIB_500,8490,2214,6276,26.07773851590106,2.2392929289469015,1.72,1.1267925666335816
FVG,False,37574,10870,26704,28.929578964177356,2.4626514218746216,2.059410223664873,1.1794230748697183
FVG,True,890,195,695,21.910112359550563,1.9268705212128636,1.366470022054041,1.1293834076348486
REJECTION,"(0.4, 0.5]",6311,1926,4385,30.518142925051496,2.536327994919584,2.180455392593703,1.1530985483667677
REJECTION,"(-inf, 0.2]",6310,1905,4405,30.19017432646593,2.5092876750808317,2.1740874015642637,1.1680799193826727
REJECTION,"(0.3, 0.4]",6623,1937,4686,29.24656500075494,2.4548112127800543,2.048458149779736,1.156631985864004
REJECTION,"(0.2, 0.3]",6031,1755,4276,29.099651799038302,2.4258429196217106,1.9751687836132101,1.1660656671083358
REJECTION,"(0.5, inf]",13189,3542,9647,26.855713094245203,2.389698595285321,1.9510461902879923,1.211622483675396
RELATIVE_VOLUME,"(0.8, 1.0]",7082,2202,4880,31.09291160689071,2.5586525090778425,2.217485136184078,1.1709540372816893
RELATIVE_VOLUME,"(-inf, 0.8]",5364,1655,3709,30.853840417598803,2.6241091410788218,2.2450694144797074,1.2308526751980402
RELATIVE_VOLUME,"(1.0, 1.2]",6906,2029,4877,29.38024905878946,2.476595945209902,2.0830417623661637,1.1712050294486893
RELATIVE_VOLUME,"(1.2, 1.5]",7327,2083,5244,28.429097857240343,2.4469501434195835,2.046297692655815,1.1745342406536028
RELATIVE_VOLUME,"(1.5, 2.0]",6227,1761,4466,28.280070660028905,2.371473209392654,1.9285435376805269,1.1768227870630568
