max_cisd_bars,entry,rr,stop_buffer,sr_max_atr,sweep_min_atr,rejection_min,volume_min,displacement_min_atr,ifvg_required,fvg_required,absorption,train_trades,train_wr,train_exp_r,train_pf,train_dd_r,valid_trades,valid_wr,valid_exp_r,valid_pf,valid_dd_r,target_50,robust_wr,robust_exp
5,NO_FIB,4.0,0.25,0.15,,,,0.75,False,False,NONE,268,38.43283582089552,0.9216417910447762,2.496969696969697,10.0,130,36.92307692307693,0.8461538461538461,2.341463414634146,8.0,False,36.92307692307693,0.8461538461538461
5,NO_FIB,4.0,0.5,0.15,,,,0.75,False,False,NONE,267,38.95131086142322,0.947565543071161,2.552147239263804,10.0,130,36.92307692307693,0.8461538461538461,2.341463414634146,8.0,False,36.92307692307693,0.8461538461538461
3,NO_FIB,4.0,0.5,0.5,,,,0.75,False,False,NONE,502,36.85258964143426,0.8426294820717132,2.334384858044164,10.0,250,36.8,0.84,2.329113924050633,8.0,False,36.8,0.84
8,NO_FIB,4.0,0.5,0.5,,,,0.75,False,False,NONE,528,36.74242424242424,0.8371212121212122,2.3233532934131738,10.0,264,37.121212121212125,0.8560606060606061,2.36144578313253,13.0,False,36.74242424242424,0.8371212121212122
5,NO_FIB,4.0,0.5,0.5,,,,0.75,False,False,NONE,524,36.6412213740458,0.8320610687022901,2.3132530120481927,10.0,261,37.547892720306514,0.8773946360153256,2.4049079754601226,12.0,False,36.6412213740458,0.8320610687022901
8,NO_FIB,4.0,0.25,0.15,,,,0.75,False,False,NONE,270,38.14814814814815,0.9074074074074074,2.467065868263473,10.0,131,36.6412213740458,0.8320610687022901,2.3132530120481927,9.0,False,36.6412213740458,0.8320610687022901
8,NO_FIB,4.0,0.5,0.15,,,,0.75,False,False,NONE,269,38.66171003717472,0.933085501858736,2.521212121212121,10.0,131,36.6412213740458,0.8320610687022901,2.3132530120481927,9.0,False,36.6412213740458,0.8320610687022901
5,NO_FIB,4.0,0.5,,,,,0.75,False,False,NONE,926,36.60907127429805,0.8304535637149028,2.3100511073253838,14.0,419,36.9928400954654,0.8496420047732697,2.3484848484848486,12.0,False,36.60907127429805,0.8304535637149028
3,NO_FIB,4.0,0.5,,,,,0.75,False,False,NONE,893,36.73012318029115,0.8365061590145577,2.3221238938053097,13.0,399,36.59147869674185,0.8295739348370927,2.308300395256917,12.0,False,36.59147869674185,0.8295739348370927
8,NO_FIB,4.0,0.5,,,,,0.75,False,False,NONE,935,36.57754010695187,0.8288770053475936,2.3069139966273187,14.0,423,36.87943262411347,0.8439716312056738,2.337078651685393,12.0,False,36.57754010695187,0.8288770053475936
3,NO_FIB,4.0,0.25,0.5,,,,0.75,False,False,NONE,504,36.507936507936506,0.8253968253968254,2.3,10.0,250,36.8,0.84,2.329113924050633,8.0,False,36.507936507936506,0.8253968253968254
8,NO_FIB,4.0,0.25,0.5,,,,0.75,False,False,NONE,530,36.41509433962264,0.8207547169811321,2.29080118694362,10.0,264,37.121212121212125,0.8560606060606061,2.36144578313253,13.0,False,36.41509433962264,0.8207547169811321
5,NO_FIB,4.0,0.25,,,,,0.75,False,False,NONE,928,36.422413793103445,0.8211206896551724,2.2915254237288134,14.0,421,36.342042755344416,0.8171021377672208,2.283582089552239,12.0,False,36.342042755344416,0.8171021377672208
5,NO_FIB,4.0,0.5,,0.05,,,0.75,False,False,NONE,883,36.35334088335221,0.8176670441676104,2.284697508896797,14.0,399,36.34085213032581,0.8170426065162907,2.283464566929134,9.0,False,36.34085213032581,0.8170426065162907
5,NO_FIB,4.0,0.25,0.5,,,,0.75,False,False,NONE,526,36.31178707224335,0.8155893536121673,2.280597014925373,10.0,261,37.547892720306514,0.8773946360153256,2.4049079754601226,12.0,False,36.31178707224335,0.8155893536121673
5,NO_FIB,4.0,0.25,0.15,0.15,,,0.5,False,False,NONE,250,38.8,0.94,2.5359477124183005,9.0,113,36.283185840707965,0.8141592920353983,2.2777777777777777,7.0,False,36.283185840707965,0.8141592920353983
8,NO_FIB,4.0,0.25,,,,,0.75,False,False,NONE,937,36.392742796157954,0.8196371398078975,2.2885906040268456,14.0,425,36.23529411764706,0.8117647058823529,2.273062730627306,12.0,False,36.23529411764706,0.8117647058823529
8,NO_FIB,4.0,0.5,,0.05,,,0.75,False,False,NONE,892,36.32286995515695,0.8161434977578476,2.2816901408450705,14.0,403,36.22828784119106,0.8114143920595533,2.272373540856031,9.0,False,36.22828784119106,0.8114143920595533
3,NO_FIB,4.0,0.25,,,,,0.75,False,False,NONE,895,36.53631284916201,0.8268156424581006,2.3028169014084505,13.0,400,36.0,0.8,2.25,12.0,False,36.0,0.8
